epoch,train_loss,val_loss,val_dice,seg_bce_loss,seg_dice_loss,clip_aux_loss,loss_s_t,loss_rs,loss_chunk_align
1,1.139,0.7942,0.3793,,,,,,
2,1.0994,0.8415,0.3601,,,,,,
3,1.1756,0.9133,0.316,,,,,,
4,1.175,0.8837,0.3329,,,,,,
5,1.1623,0.9804,0.2181,,,,,,
6,1.2256,0.9169,0.2793,,,,,,
7,1.1783,0.8896,0.3025,,,,,,
8,1.1607,0.895,0.3116,,,,,,
9,1.1743,0.9074,0.3003,,,,,,
10,1.1682,0.8956,0.3073,,,,,,
11,1.149,0.8721,0.3164,,,,,,
12,1.1437,0.8793,0.3376,,,,,,
13,1.1566,0.9318,0.254,,,,,,
14,1.1987,0.9169,0.2809,,,,,,
15,1.1638,0.886,0.3136,,,,,,
16,1.1644,0.9016,0.2977,,,,,,
17,1.1661,0.891,0.3304,,,,,,
18,1.1557,0.8835,0.3301,,,,,,
19,1.1749,0.924,0.2886,,,,,,
20,1.1939,0.9213,0.2859,,,,,,
