epoch,train_loss,val_loss,val_dice,seg_bce_loss,seg_dice_loss,clip_aux_loss,loss_s_t,loss_rs,loss_chunk_align
1,1.2292,0.7892,0.3971,,,,,,
2,1.1543,0.7748,0.3903,,,,,,
3,1.2312,0.8475,0.3509,,,,,,
4,1.2195,0.8528,0.3291,,,,,,
5,1.2322,0.8641,0.3371,,,,,,
6,1.2179,0.8619,0.3303,,,,,,
7,1.2824,0.9362,0.2529,,,,,,
8,1.2903,0.9424,0.2371,,,,,,
9,1.2499,0.8938,0.3047,,,,,,
10,1.2545,0.901,0.2954,,,,,,
11,1.2482,0.8923,0.3016,,,,,,
12,1.2491,0.8925,0.3005,,,,,,
13,1.2488,0.9207,0.2781,,,,,,
14,1.2827,0.9101,0.2881,,,,,,
15,1.2668,0.8961,0.2953,,,,,,
16,1.2595,0.8996,0.2938,,,,,,
17,1.2539,0.8591,0.3134,,,,,,
18,1.221,0.8612,0.3197,,,,,,
19,1.2449,0.8915,0.2915,,,,,,
20,1.2553,0.8871,0.2968,,,,,,
