epoch,train_total,train_seg,train_bce,train_dice_loss,train_clip,train_weighted_clip,train_loss_st,train_loss_rs,train_loss_chunk_align,val_total,val_bce,val_dice_loss,val_dice_metric
1,0.779,0.4123,0.2564,0.5683,2.7954,0.2795,0.2437,0.0121,0.3714,0.3619,0.2333,0.4906,0.5547
2,0.6513,0.3538,0.2206,0.487,2.7643,0.2764,0.0574,0.009,0.0928,0.3321,0.2093,0.4549,0.592
3,0.611,0.3282,0.2025,0.454,2.7624,0.2762,0.0191,0.0089,0.0231,0.3178,0.2107,0.4249,0.6104
4,0.5954,0.3143,0.1936,0.4351,2.763,0.2763,0.0133,0.0087,0.0184,0.3163,0.2149,0.4178,0.6065
5,0.5861,0.305,0.1876,0.4224,2.7627,0.2763,0.0134,0.0092,0.0189,0.3086,0.1881,0.4291,0.6094
6,0.5767,0.2968,0.1823,0.4113,2.7636,0.2764,0.0095,0.0093,0.0147,0.3078,0.2155,0.4,0.6258
7,0.5688,0.2901,0.1778,0.4023,2.7631,0.2763,0.0066,0.0103,0.0088,0.302,0.1907,0.4133,0.6247
8,0.5614,0.2833,0.1733,0.3933,2.7633,0.2763,0.0044,0.0101,0.0066,0.3018,0.2056,0.398,0.6316
9,0.5596,0.2787,0.1701,0.3873,2.7674,0.2767,0.0115,0.0101,0.0149,0.3011,0.2084,0.3939,0.6309
10,0.5516,0.2728,0.1661,0.3795,2.7635,0.2763,0.0064,0.0102,0.0089,0.2972,0.1889,0.4056,0.6353
11,0.5461,0.2684,0.1629,0.374,2.761,0.2761,0.004,0.0097,0.0056,0.301,0.2069,0.3951,0.6323
12,0.5411,0.263,0.1591,0.3669,2.7629,0.2763,0.0049,0.0091,0.0068,0.3149,0.2157,0.4142,0.6179
13,0.5407,0.2599,0.1572,0.3627,2.7776,0.2778,0.0079,0.0113,0.0111,0.2945,0.1965,0.3926,0.6416
14,0.5359,0.2552,0.1539,0.3566,2.7726,0.2773,0.0095,0.0119,0.0115,0.3036,0.2086,0.3986,0.6363
15,0.5269,0.249,0.1496,0.3484,2.7626,0.2763,0.0041,0.0106,0.0064,0.2972,0.2055,0.3888,0.6393
16,0.5255,0.2471,0.1481,0.3462,2.7626,0.2763,0.0054,0.0093,0.0075,0.2997,0.2015,0.3978,0.6321
17,0.5213,0.244,0.146,0.3421,2.763,0.2763,0.0023,0.0085,0.0036,0.3031,0.2154,0.3908,0.6336
18,0.5189,0.2405,0.1438,0.3373,2.764,0.2764,0.0053,0.0084,0.0074,0.3011,0.206,0.3963,0.6367
19,0.5146,0.2362,0.1405,0.3319,2.7622,0.2762,0.0056,0.009,0.0081,0.3066,0.2299,0.3834,0.6381
20,0.511,0.2337,0.139,0.3284,2.7633,0.2763,0.0022,0.0081,0.0033,0.3018,0.2161,0.3876,0.6374
